curb-weight;engine-size;horsepower;average mpg
2548;130;111;67
2548;130;111;67
2823;152;154;79
2337;109;102;56.5
2824;136;115;70.5
2507;136;110;70.5
2844;136;110;70.5
2954;136;110;70.5
3086;131;140;68
2395;108;101;56
2395;108;101;56
2710;164;121;85
2765;164;121;85
3055;164;121;85
3230;209;182;107.5
3380;209;182;107.5
3505;209;182;107.5
1488;61;48;32
1874;90;70;47
1909;90;70;47
1876;90;68;47
1876;90;68;47
2128;98;102;51
1967;90;68;47
1989;90;68;47
1989;90;68;47
2191;98;102;51
2535;122;88;63
2811;156;145;80
1713;92;58;48
1819;92;76;48
1837;79;60;41.5
1940;92;76;48
1956;92;76;48
2010;92;76;48
2024;92;76;48
2236;110;86;57
2289;110;86;57
2304;110;86;57
2372;110;86;57
2465;110;101;57
2293;110;100;57
2337;111;78;57.5
2734;119;90;61.5
4066;258;176;132
4066;258;176;132
3950;326;262;169
1890;91;68;47.5
1900;91;68;47.5
1905;91;68;47.5
1945;91;68;47.5
1950;91;68;47.5
2380;70;101;36
2380;70;101;36
2385;70;101;36
2500;80;135;41
2385;122;84;63
2410;122;84;63
2385;122;84;63
2410;122;84;63
2443;122;64;63
2425;122;84;63
2670;140;120;72
2700;134;72;69
3515;183;123;94
3750;183;123;94
3495;183;123;94
3770;183;123;94
3740;234;155;121
3685;234;155;121
3900;308;184;158
3715;304;184;156
2910;140;175;72
1918;92;68;48
1944;92;68;48
2004;92;68;48
2145;98;102;51
2370;110;116;57
2328;122;88;63
2833;156;145;80
2921;156;145;80
2926;156;145;80
2365;122;88;63
2405;122;88;63
2403;110;116;57
2403;110;116;57
1889;97;69;50.5
2017;103;55;53.5
1918;97;69;50.5
1938;97;69;50.5
2024;97;69;50.5
1951;97;69;50.5
2028;97;69;50.5
1971;97;69;50.5
2037;97;69;50.5
2008;97;69;50.5
2324;120;97;62
2302;120;97;62
3095;181;152;93.5
3296;181;152;93.5
3060;181;152;93.5
3071;181;160;93.5
3139;181;200;93.5
3139;181;160;93.5
3020;120;97;62
3197;152;95;78
3230;120;97;62
3430;152;95;78
3075;120;95;62
3252;152;95;78
3285;120;95;62
3485;152;95;78
3075;120;97;62
3252;152;95;78
3130;134;142;69
1918;90;68;47
2128;98;102;51
1967;90;68;47
1989;90;68;47
2191;98;68;51
2535;122;88;63
2818;156;145;80
2778;151;143;77.5
2756;194;207;100
2756;194;207;100
2800;194;207;100
2658;121;110;62.5
2695;121;110;62.5
2707;121;110;62.5
2758;121;110;62.5
2808;121;160;62.5
2847;121;160;62.5
2050;97;69;50.5
2120;108;73;56
2240;108;73;56
2145;108;82;56
2190;108;82;56
2340;108;94;56
2385;108;82;56
2510;108;111;56
2290;108;82;56
2455;108;94;56
2420;108;82;56
2650;108;111;56
1985;92;62;48
2040;92;62;48
2015;92;62;48
2280;92;62;48
2290;92;62;48
