curb-weight;horsepower;num-of-cylinders;engine-size;average mpg
2365;88;4;122;63
3515;123;5;183;94
2548;111;4;130;67
3075;97;4;120;62
2405;88;4;122;63
2024;69;4;97;50.5
3430;95;4;152;78
2037;69;4;97;50.5
2910;175;4;140;72
3285;95;4;120;62
3296;152;6;181;93.5
3071;160;6;181;93.5
3020;97;4;120;62
3740;155;8;234;121
3485;95;4;152;78
3230;97;4;120;62
2004;68;4;92;48
2337;102;4;109;56.5
1938;69;4;97;50.5
3075;95;4;120;62
1944;68;4;92;48
2145;102;4;98;51
2370;116;4;110;57
3750;123;5;183;94
3139;160;6;181;93.5
2926;145;4;156;80
3252;95;4;152;78
3495;123;5;183;94
2028;69;4;97;50.5
1889;69;4;97;50.5
3715;184;8;304;156
2403;116;4;110;57
2921;145;4;156;80
2302;97;4;120;62
3130;142;4;134;69
1971;69;4;97;50.5
3685;155;8;234;121
1918;68;4;92;48
3060;152;6;181;93.5
3252;95;4;152;78
2008;69;4;97;50.5
3770;123;5;183;94
2670;120;4;140;72
2833;145;4;156;80
2823;154;6;152;79
2403;116;4;110;57
2324;97;4;120;62
2328;88;4;122;63
2700;72;4;134;69
3900;184;8;308;158
3139;200;6;181;93.5
1918;69;4;97;50.5
2824;115;5;136;70.5
3095;152;6;181;93.5
3197;95;4;152;78
2017;55;4;103;53.5
1951;69;4;97;50.5
