date;temperaturemin;temperaturemax;precipitation;snowfall;snowdepth;avgwindspeed;fastest2minwinddir;fastest2minwindspeed;fastest5secwinddir;fastest5secwindspeed;fog;fogheavy;mist;rain;fogground;ice;glaze;drizzle;snow;freezingrain;smokehaze;thunder;highwind;hail;blowingsnow;dust;freezingfog
01.01.2018;13.1;28.2;0;0;0;6.49;40;14.99;40;21.92;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
02.01.2018;12.2;32;0;0;0;2.91;30;10.07;20;14.09;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
03.01.2018;9.1;32;0.06;0.91;0;4.25;360;12.97;340;23.04;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No
04.01.2018;18.1;30.2;0;0;1.18;9.62;300;21.03;350;33.11;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
05.01.2018;12.2;31.1;0;0;0;5.59;280;17;280;23.94;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
06.01.2018;12.2;27.1;0;0;0;4.03;320;12.97;310;19.91;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
07.01.2018;4.1;30.2;0;0;0;2.68;80;10.07;80;12.97;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
08.01.2018;16.2;46.9;0;0;0;5.37;220;16.11;230;19.01;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
09.01.2018;29.1;63;0;0;0;2.68;120;8.95;120;12.97;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
10.01.2018;43;61;0;0;0;4.92;90;10.07;100;17;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
11.01.2018;41;64;0.11;0;0;6.71;150;14.99;130;23.04;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
12.01.2018;55.9;71.1;0.5;0;0;11.41;240;23.04;230;31.99;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
13.01.2018;29.1;55.9;0;0;0;9.62;230;23.04;230;29.08;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
14.01.2018;21.2;33.1;0;0;0;8.72;50;18.12;30;23.94;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
15.01.2018;17.2;39;0;0;0;3.8;40;12.08;50;14.99;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
16.01.2018;20.1;46.9;0;0;0;1.79;240;8.95;240;12.97;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
17.01.2018;23.2;37.9;0.49;5.91;0;5.82;30;18.12;20;25.05;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
18.01.2018;10.2;34;0;0.2;5.91;5.59;270;12.97;320;19.01;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
19.01.2018;19.2;48.9;0;0;3.94;3.58;230;12.08;230;12.97;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
20.01.2018;26.2;55.9;0;0;1.18;5.59;220;12.97;230;16.11;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
21.01.2018;31.1;68;0;0;0;1.12;250;8.95;230;12.97;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
22.01.2018;37.9;62.1;0;0;0;4.7;190;18.12;200;25.05;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
23.01.2018;46.9;70;0.83;0;0;15.66;230;31.99;240;42.05;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
24.01.2018;34;54;0;0;0;4.03;360;16.11;20;23.04;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
25.01.2018;26.2;48.9;0;0;0;3.13;350;12.97;10;19.91;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
26.01.2018;25.2;57;0;0;0;4.25;200;12.97;220;17;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
27.01.2018;31.1;66.9;0;0;0;6.26;170;17;190;21.92;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
28.01.2018;52;60.1;1.3;0;0;5.14;40;12.97;20;19.01;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
29.01.2018;33.1;52;0.59;0;0;8.05;360;14.99;20;25.05;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
30.01.2018;25.2;39.9;0.04;0;0;6.93;300;19.91;310;31.09;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
31.01.2018;19.2;46.9;0;0;0;5.82;200;14.99;200;21.92;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
01.02.2018;31.1;62.1;0;0;0;13.2;240;25.05;230;31.09;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
02.02.2018;24.3;57;0.16;0;0;7.83;220;23.04;230;29.97;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No
03.02.2018;18.1;42.1;0;0;0;5.14;160;10.07;20;14.99;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
04.02.2018;33.1;55.9;0.61;0;0;6.49;170;27.96;170;36.91;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
